#Network | Station | Latitude | Longitude | Elevation | Sitename | StartTime | EndTime

#DATACENTER=IRISDMC,http://ds.iris.edu
AU|HTT|-33.4306|138.9217|708.0|Hallett, South Australia|2009-07-01T00:00:00|2599-12-31T23:59:59
AU|INKA|-27.740999|140.745605|112.0|Innamincka, South Australia|2013-06-21T00:00:00|2599-12-31T23:59:59
AU|KDU|-12.6869|132.472702|46.0|Kakadu, NT|2008-11-27T00:00:00|2599-12-31T23:59:59
AU|KELC|-35.979099|136.907806|60.0|Kangaroo Island|2018-06-11T00:00:00|2599-12-31T23:59:59
AU|KMBL|-31.3669|121.8821|370.0|Kambalda, WA|2000-11-27T00:00:00|2599-12-31T23:59:59
AU|KNRA|-15.6769|128.762802|126.0|Kunnunarra, WA|2008-08-21T00:00:00|2599-12-31T23:59:59
AU|KORDA|-30.87687|117.50301|306.0|KORDA- Koorda, Western Australia|2020-05-28T00:00:00|2599-12-31T23:59:59
AU|LCRK|-30.447201|138.216202|207.0|Leigh Creek,South Australia|2013-06-16T00:00:00|2599-12-31T23:59:59
AU|LHI|-31.52|159.061295|73.7|Lord Howe Island|2007-07-08T00:00:00|2599-12-31T23:59:59
AU|MABG|-34.0721|150.7601|132.0|Mount Annan Botanical Gardens|2016-08-17T00:00:00|2599-12-31T23:59:59
AU|MANU|-2.0432|147.366196|141.5|Manus Island, Papua New Guinea|2009-05-26T00:00:00|2599-12-31T23:59:59
AU|MCQ|-54.4986|158.9561|14.0|Macquarie Island|2004-06-28T00:00:00|2599-12-31T23:59:59
AU|MGBR|-37.726299|140.5728|186.0|Mount Gambier SA|2018-06-12T00:00:00|2599-12-31T23:59:59
AU|MILA|-37.0547|149.155|785.0|Mila, NSW|2006-04-11T00:00:00|2599-12-31T23:59:59
AU|MTN|-12.8436|131.132706|137.4|Manton Dam, Darwin NT|2006-08-20T00:00:00|2599-12-31T23:59:59
AU|MTSU|-18.148199|144.319504|460.0|Mount Surprise, QLD|2002-11-06T00:00:00|2599-12-31T23:59:59
AU|MUKOZ|-26.7575|114.609398|130.0|Meadow Station, WA|2019-03-13T00:00:00|2599-12-31T23:59:59
AU|MULG|-30.281799|134.058502|254.7|Mulgathing, South Australia|2013-05-28T00:00:00|2599-12-31T23:59:59
AU|NAPP|-33.1828|138.147797|181.0|Napperby JUMP, South Australia|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|NFK|-29.043301|167.938904|203.0|Norfolk Island|2008-05-20T00:00:00|2599-12-31T23:59:59
AU|NTLH|-32.8983|151.703003|64.0|Newcastle Hard Rock JUMP, New South Wales|2012-09-25T00:00:00|2599-12-31T23:59:59
AU|OKDL|-34.0707|150.4805|508.0|Oakdale, Sydney, NSW|2017-02-17T00:00:00|2599-12-31T23:59:59
AU|ONGER|-33.86366|118.39563|340.0|Ongerup, WA|2020-06-25T03:42:35|2599-12-31T23:59:59
AU|OOD|-27.794399|135.688004|162.2|Oodnadatta, South Australia|2013-05-24T00:00:00|2599-12-31T23:59:59
AU|PHB|-35.306999|149.1241|609.0|Parliment House Basement - Canberra|2015-12-16T00:00:00|2599-12-31T23:59:59
AU|QIS|-20.557699|139.605194|450.0|Mount Isa, Qld|2005-02-06T00:00:00|2599-12-31T23:59:59
AU|QLP|-26.5837|144.235001|210.0|Quilpie, QLD|2003-11-13T00:00:00|2599-12-31T23:59:59
AU|RABL|-4.1912|152.163696|277.0|Rabaul, Papua New Guinea|2009-04-26T00:00:00|2599-12-31T23:59:59
AU|RIV|-33.829399|151.158295|25.0|St Ignatius College, Riverview, Sydney|2004-11-09T00:00:00|2599-12-31T23:59:59
AU|RK1H|-23.3876|150.493896|66.0|Rockhampton 1 Hard Rock JUMP, QLD|2009-01-13T00:00:00|2599-12-31T23:59:59
AU|RK2S|-23.3102|150.521606|36.0|Rockhampton 2 Soft Rock JUMP, QLD|2008-12-10T00:00:00|2599-12-31T23:59:59
AU|RMQ|-26.489|148.755005|360.0|Roma, QLD|2004-11-22T21:00:00|2599-12-31T23:59:59
AU|SDAN|-34.507301|139.337997|586.0|Sedan SA|2018-06-11T00:00:00|2599-12-31T23:59:59
AU|SYDH|-33.7619|150.7417|55.0|Sydney Hard JUMP, New South Wales|2010-09-10T00:00:00|2599-12-31T23:59:59
AU|SYDS|-33.9297|151.2243|27.0|Sydney Soft JUMP, NSW|2010-04-30T00:00:00|2599-12-31T23:59:59
AU|TV1H|-19.2614|146.795395|65.0|Townsville 1 Hard JUMP, Queensland|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|TV2S|-19.2904|146.788696|25.0|Townsville 2 Soft JUMP, Queensland|2012-08-01T00:00:00|2599-12-31T23:59:59
AU|TW1H|-27.544201|151.972|730.0|Toowoomba 1 Hard JUMP, Queensland|2009-01-01T00:00:00|2599-12-31T23:59:59
AU|WATNG|-30.7323|118.19845|360.0|Wattoning, WA|2020-06-12T00:00:00|2599-12-31T23:59:59
AU|WOLH|-34.407|150.874|91.0|Woolongong Hard JUMP, NSW|2011-03-23T00:00:00|2599-12-31T23:59:59
AU|WRKA|-25.0375|128.296097|622.0|Warrakurna, Western Australia|2009-04-26T00:00:00|2599-12-31T23:59:59
AU|WTPK|-34.2217|150.6389|199.0|Wilton Park, Sydney, NSW|2016-07-07T00:00:00|2599-12-31T23:59:59
AU|YAPP|-31.866301|138.311905|267.0|Yappala Station, SA|2018-06-23T00:00:00|2599-12-31T23:59:59
AU|YARR|-33.6174|150.6877|19.0|Yarramundi, Sydney, NSW|2016-11-29T00:00:00|2599-12-31T23:59:59
AU|YNG|-34.298|148.3963|460.0|Young, NSW|2004-04-16T00:00:00|2599-12-31T23:59:59
AY|HINH|19.1637|-72.015602|289.0|Hinche, NA|2014-03-24T00:00:00|2599-12-31T23:59:59
AZ|BZN|33.491501|-116.667|1301.0|Buzz Northerns Place, Anza, CA, USA|1983-01-20T00:00:00|2599-12-31T23:59:59
AZ|CRY|33.565399|-116.737297|1128.0|Cary Ranch, Anza, CA, USA|1982-10-01T00:00:00|2599-12-31T23:59:59
AZ|FRD|33.494701|-116.602203|1164.0|Ford Ranch, Anza, CA, USA|1982-10-01T00:00:00|2599-12-31T23:59:59
AZ|KNW|33.7141|-116.7119|1507.0|Keenwild Fire Station, Mountain Center, CA, USA|1982-10-01T00:00:00|2599-12-31T23:59:59
AZ|LVA2|33.351601|-116.561501|1435.0|Lost Valley Scout Camp, CA, USA|1993-04-18T00:00:00|2599-12-31T23:59:59
AZ|PFO|33.611698|-116.459396|1259.0|Pinyon Flats Observatory, CA, USA|1982-10-01T00:00:00|2599-12-31T23:59:59
AZ|RDM|33.630001|-116.847801|1365.0|Red Mountain, Riverside Co, CA, USA|1982-10-01T00:00:00|2599-12-31T23:59:59
AZ|RRSP|33.651501|-116.739403|1610.0|Rouse Ridge, CA, USA|2013-01-24T00:00:00|2599-12-31T23:59:59
AZ|SIO5|32.840698|-117.249702|217.0|Mt. Soledad, La Jolla, CA|2017-05-23T00:00:00|2599-12-31T23:59:59
AZ|SMER|33.457699|-117.170799|355.7|Santa Margarita Ecological Reserve, CA, USA|2002-02-09T00:00:00|2599-12-31T23:59:59
AZ|SND|33.551899|-116.6129|1358.0|Jim Saunders Place, Anza, CA, USA|1982-10-01T00:00:00|2599-12-31T23:59:59
AZ|TRO|33.5234|-116.4257|2628.0|Toro Peak, Riverside Co, CA, USA|1982-10-01T00:00:00|2599-12-31T23:59:59
BC|CBX|32.3131|-116.6636|1250.0|CERRO BOLA MEX|2002-02-22T18:00:00|2599-12-31T23:59:59
BC|CCX|31.867887|-116.664459|36.6|CICESE CCX|2011-06-16T00:00:00|2599-12-31T23:59:59
BC|CPX|32.4195|-115.305|192.0|CERRO PRIETO|2009-10-30T20:00:00|2599-12-31T23:59:59
BC|GUVIX|32.302898|-115.075996|10.0|Guadalupe Victoria|2014-06-13T00:00:00|2599-12-31T23:59:59
BC|PIX|31.562901|-113.4599|77.8|Pinacate|2011-07-15T00:00:00|2599-12-31T23:59:59
BC|RMX|32.5535|-116.0288|1278.0|Rumorosa|2011-10-11T00:00:00|2599-12-31T23:59:59
BC|SFX|31.0376|-114.851|39.0|San Felipe|2012-07-04T00:00:00|2599-12-31T23:59:59
BC|SJX|32.004799|-115.947998|1616.0|Sierra de Juarez|2012-03-20T00:00:00|2599-12-31T23:59:59
BC|SLRCX|32.457901|-114.704903|47.0|San Luis Rio Colorado|2015-06-05T23:46:32|2599-12-31T23:59:59
BC|TJX|32.51017|-117.054298|210.0|Tijuana|2011-08-08T00:00:00|2599-12-31T23:59:59
BC|TKX|32.5687|-116.6075|541.0|Tecate|2011-10-11T00:00:00|2599-12-31T23:59:59
BC|UABX|32.6316|-115.4447|44.3|UABC Campus Mexicali|2011-06-30T00:00:00|2599-12-31T23:59:59
BC|VTX|31.391399|-115.783997|746.0|Valle de la Trinidad|2011-11-09T00:00:00|2599-12-31T23:59:59
BE|MEM|50.6092|6.0067|250.0|Membach, Belgium|2006-01-01T00:00:00|2599-12-31T23:59:59
BE|RCHB|50.155156|5.226787|225.0|Rochefort, Belgium|2008-06-03T00:00:00|2599-12-31T23:59:59
BE|UCC|50.797241|4.36038|100.0|Uccle, Brussels, Belgium|2018-10-29T09:00:00|2599-12-31T23:59:59
BK|CMB|38.03455|-120.38651|697.0|Columbia College, Columbia, CA, USA|1996-09-25T19:19:00|2599-12-31T23:59:59
BK|MCCM|38.14478|-122.88018|-7.7|Marconi Conference Center, Marshall, CA, USA|2006-02-03T18:30:00|2599-12-31T23:59:59
BK|SAO|36.76403|-121.44722|317.2|San Andreas Geophysical Obs., Hollister, CA, USA|1988-01-28T00:00:00|2599-12-31T23:59:59
BL|PMNB|-18.540001|-46.439999|950.0|Patos de Minas, MG|2010-10-22T16:00:00|2599-12-31T23:59:59
BL|VABB|-23.0021|-46.965698|866.0|Valinhos, SP|2010-04-05T00:00:00|2599-12-31T23:59:59
C0|CHIL|40.446466|-104.638217|1423.7|CSU-CHILL Radar|2020-02-21T00:00:00|2599-12-31T23:59:59
C0|HAYD|40.52806|-107.26551|2202.3|Hayden Colorado|2018-06-01T00:00:00|2599-12-31T23:59:59
C0|LAMA|38.273002|-102.645293|1182.4|Lamar Colorado|2018-11-07T00:00:00|2599-12-31T23:59:59
C0|MCSU|40.568455|-105.587774|2756.1|Colorado State University - Mountain Campus - CO USA|2019-07-07T00:00:00|2599-12-31T23:59:59
C0|Q24A|38.9641|-105.1492|2772.3|Divide, CO|2019-02-26T00:00:00|2599-12-31T23:59:59
C0|S22A|37.74612|-106.82926|2623.7|4UR Ranch, Creede, CO|2019-03-07T00:00:00|2599-12-31T23:59:59
C0|T25A|37.1388|-104.41087|2012.9|Trinidad, CO|2019-03-07T00:00:00|2599-12-31T23:59:59
C1|AC01|-26.14788|-70.59866|346.0|Pan de Azucar|2012-08-13T00:00:00|2599-12-31T23:59:59
C1|AC02|-26.835517|-69.129067|3980.0|Maricunga|2014-02-04T00:00:00|2599-12-31T23:59:59
C1|AC04|-28.204575|-71.073928|228.0|Llanos de Challe|2014-02-08T00:00:00|2599-12-31T23:59:59
C1|AC05|-28.836377|-70.273777|1227.0|El Transito|2014-02-09T00:00:00|2599-12-31T23:59:59
C1|AC06|-27.357117|-70.354689|380.0|Copiapo, Mina Casimiro Domeyko|2015-08-28T13:49:46|2599-12-31T23:59:59
C1|AF01|-22.95196|-68.17876|2442.9|SAN PEDRO DE ATACAMA|2015-06-05T00:00:00|2599-12-31T23:59:59
C1|AP01|-18.37084|-70.34197|31.0|Chacalluta|2013-11-16T00:00:00|2599-12-31T23:59:59
C1|AP02|-18.853959|-69.143334|4334.0|Surire|2017-04-27T05:38:00|2599-12-31T23:59:59
C1|AY01|-44.42092|-72.64803|9.0|PUYUHUAPI|2015-05-09T00:00:00|2599-12-31T23:59:59
C1|AY02|-46.48392|-73.19474|79.0|VALLE EXPLORADORES|2015-04-07T00:00:00|2599-12-31T23:59:59
C1|AY03|-47.253042|-72.590769|206.5|Cochrane|2017-01-10T18:01:29|2599-12-31T23:59:59
C1|AY04|-46.582606|-71.6909|308.4|Chile Chico|2019-04-24T13:03:09|2599-12-31T23:59:59
C1|AY05|-45.150958|-73.511667|20.5|Puerto Aguirre|2019-01-16T20:06:58|2599-12-31T23:59:59
C1|BI02|-36.6634|-71.2731|913.0|San Fabian de Alico|2014-01-10T00:00:00|2599-12-31T23:59:59
C1|BI04|-38.41161|-73.88622|41.0|Isla Mocha|2016-10-28T00:00:00|2599-12-31T23:59:59
C1|BI05|-36.74784|-73.19051|52.0|Faro Punta Hualpen|2015-09-13T00:00:00|2599-12-31T23:59:59
C1|BI06|-36.131306|-72.788472|23.0|Cobquecura|2018-02-16T14:48:54|2599-12-31T23:59:59
C1|BO01|-34.3917|-71.0848|262.5|Tunca|2014-02-06T00:00:00|2599-12-31T23:59:59
C1|BO02|-34.7924|-70.7814|886.0|Daracena|2014-01-16T00:00:00|2599-12-31T23:59:59
C1|BO03|-34.49605|-71.9612|128.0|Pichilemu|2014-10-29T00:00:00|2599-12-31T23:59:59
C1|BO04|-33.98884|-70.60902|625.0|La Punta|2015-09-25T00:00:00|2599-12-31T23:59:59
C1|CO01|-29.9773|-70.0939|2157.0|Juntas del Toro|2014-02-11T00:00:00|2599-12-31T23:59:59
C1|CO02|-31.2037|-71.0003|1190.0|Combarbala|2013-06-19T00:00:00|2599-12-31T23:59:59
C1|CO03|-30.8389|-70.6891|1003.0|El Pedregal|2014-02-11T00:00:00|2599-12-31T23:59:59
C1|CO04|-32.0433|-70.9747|2401.0|Los Peladeros|2014-02-08T00:00:00|2599-12-31T23:59:59
C1|CO05|-29.91864|-71.23841|101.0|LA SERENA|2015-04-02T00:00:00|2599-12-31T23:59:59
C1|CO06|-30.673813|-71.634987|246.6|Fray Jorge, IV Region Coquimbo|2015-05-11T00:00:00|2599-12-31T23:59:59
C1|CO10|-29.24057|-71.46087|35.0|PUNTA DE CHOROS|2017-10-16T18:19:31|2599-12-31T23:59:59
C1|IN44|-62.478742|-59.664009|55.0|Base Arturo Prat|2021-02-23T13:11:29|2599-12-31T23:59:59
C1|LL01|-42.3787|-72.4125|62.0|San Ignacio de Huinay|2013-10-05T00:00:00|2599-12-31T23:59:59
C1|LL02|-43.19055|-71.84838|368.0|Futaleufu|2014-09-12T00:00:00|2599-12-31T23:59:59
C1|LL04|-40.90972|-72.40817|247.0|Puerto Octay|2015-02-17T00:00:00|2599-12-31T23:59:59
C1|LL05|-41.405341|-73.47445|208.0|Los Muermos|2015-02-04T00:00:00|2599-12-31T23:59:59
C1|LL07|-42.83235|-73.47785|53.5|Hotel Espejo de Luna|2015-02-03T00:00:00|2599-12-31T23:59:59
C1|LR03|-39.632184|-72.345701|253.2|Panguipulli|2015-08-29T00:00:00|2599-12-31T23:59:59
C1|LR04|-39.88019|-73.425822|93.6|Corral|2015-09-13T00:00:00|2599-12-31T23:59:59
C1|LR05|-40.229975|-72.0044|203.5|Currine|2016-01-14T00:00:00|2599-12-31T23:59:59
C1|MG02|-52.7808|-69.2242|82.0|Cerro Sombrero|2014-12-20T00:00:00|2599-12-31T23:59:59
C1|MG03|-53.84798|-70.46275|83.0|ISLA DAWSON|2015-04-23T00:00:00|2599-12-31T23:59:59
C1|MG04|-52.8572|-71.57|82.0|Riesco|2015-02-14T00:00:00|2599-12-31T23:59:59
C1|MG05|-51.6784|-72.5032|99.0|Puerto Natales|2015-02-19T00:00:00|2599-12-31T23:59:59
C1|ML02|-35.7626|-71.4181|237.0|Panimavida|2014-11-07T00:00:00|2599-12-31T23:59:59
C1|ML03|-35.717189|-72.42244|274.0|Chanco|2020-01-29T18:21:37|2599-12-31T23:59:59
C1|MT01|-33.8641|-71.2509|310.0|Daracena|2014-01-14T00:00:00|2599-12-31T23:59:59
C1|MT02|-33.2591|-71.1377|323.0|Curacavi|2014-01-15T00:00:00|2599-12-31T23:59:59
C1|MT03|-33.4936|-70.5102|1087.0|Universidad Adolfo Ibanez|2014-04-22T00:00:00|2599-12-31T23:59:59
C1|MT04|-33.466388|-70.136194|1922.0|Olivares|2017-01-26T00:00:00|2599-12-31T23:59:59
C1|MT05|-33.3919|-70.7381|765.0|Cerro Colorado - Renca|2014-04-10T00:00:00|2599-12-31T23:59:59
C1|MT07|-32.975956|-71.015636|2234.0|Cerro El Roble|2014-01-10T00:00:00|2599-12-31T23:59:59
C1|MT08|-33.405158|-70.133366|2045.0|Bocatoma Colorado|2017-02-01T00:00:00|2599-12-31T23:59:59
C1|MT09|-33.77622|-70.98867|1371.0|Talagante|2014-10-15T00:00:00|2599-12-31T23:59:59
C1|MT10|-33.27279|-70.53723|1410.0|Hacienda Santa Martina|2017-01-27T00:00:00|2599-12-31T23:59:59
C1|MT12|-33.73273|-70.54869|727.1|Pirque|2017-01-27T00:00:00|2599-12-31T23:59:59
C1|MT13|-33.7435|-70.28609|1198.6|San Alfonso|2017-02-03T00:00:00|2599-12-31T23:59:59
C1|MT14|-33.39573|-70.536232|855.5|Calan|2017-08-17T00:00:00|2599-12-31T23:59:59
C1|MT15|-33.599397|-70.506261|784.4|Las Vizcachas|2017-10-20T16:28:13|2599-12-31T23:59:59
C1|MT16|-33.42848|-70.523351|780.0|CCHEN|2017-12-05T00:00:00|2599-12-31T23:59:59
C1|MT18|-33.4631|-70.66439|525.0|Casona|2018-03-07T12:00:00|2599-12-31T23:59:59
C1|TA01|-20.5656|-70.1807|75.0|Daracena|2013-11-21T00:00:00|2599-12-31T23:59:59
C1|TA02|-20.270527|-70.131035|23.3|Huaiquique|2018-09-06T18:19:08|2599-12-31T23:59:59
C1|VA01|-33.0229|-71.6374|37.0|Torpederas|2013-09-05T00:00:00|2599-12-31T23:59:59
C1|VA02|-27.1603|-109.4345|49.0|Isla de Pascua|2013-08-14T00:00:00|2599-12-31T23:59:59
C1|VA03|-32.7637|-70.5508|1053.0|San Esteban|2013-11-28T00:00:00|2599-12-31T23:59:59
C1|VA04|-33.6427|-78.8299|117.0|Juan Fernandez|2014-05-27T00:00:00|2599-12-31T23:59:59
C1|VA06|-32.56117|-71.29765|80.0|CATAPILCO|2015-09-11T00:00:00|2599-12-31T23:59:59
CA|ARBS|42.434492|1.533754|2145.0|La Rabassa|2009-10-01T00:00:00|2599-12-31T23:59:59
CA|CARA|42.707643|0.818132|1627.0|Aran|2011-11-16T00:00:00|2599-12-31T23:59:59
CA|CAVN|41.881578|0.750608|634.0|Les Avellanes|1999-06-01T00:00:00|2599-12-31T23:59:59
CA|CBEU|42.255629|2.675797|824.0|Beuda|2007-05-01T00:00:00|2599-12-31T23:59:59
CA|CBRU|42.284408|2.179001|1327.0|Bruguera|2000-12-01T00:00:00|2599-12-31T23:59:59
CA|CBUD|40.7044|0.8263|5.0|Illa de Buda|2016-03-09T00:00:00|2599-12-31T23:59:59
CA|CCAS|41.882875|2.904141|197.0|Cassa de la Selva|2005-12-16T00:00:00|2599-12-31T23:59:59
CA|CEST|42.598651|1.254059|1325.0|Esterri de Cardos|2006-06-01T00:00:00|2599-12-31T23:59:59
CA|CFAR|40.5604|0.6614|2.0|Far de la Banya|2016-03-01T00:00:00|2599-12-31T23:59:59
CA|CFON|41.761185|2.434581|973.0|Fontmartina|1999-06-01T00:00:00|2599-12-31T23:59:59
CA|CGAR|41.293309|1.913703|584.0|Garraf|2001-08-01T00:00:00|2599-12-31T23:59:59
CA|CLLI|42.478105|1.972973|1413.0|Llivia|1999-06-01T00:00:00|2599-12-31T23:59:59
CA|CMAS|40.72568|0.313875|530.0|Mas de Barberans|2006-04-01T00:00:00|2599-12-31T23:59:59
CA|CORG|42.229088|1.316531|720.0|Organya|2001-02-01T00:00:00|2599-12-31T23:59:59
CA|CORI|41.972401|2.048795|621.0|Orista|2006-02-01T00:00:00|2599-12-31T23:59:59
